hidden_size,train_losses,predictions,actuals
32,"[544.0543498121282, 543.9732856276215, 543.8724288504611, 543.8733436881855, 549.7223383226702, 549.7887323723045, 543.8348009586334, 549.7264698167002, 543.8219473259423, 543.8522295234023, 543.8349034555497, 543.7846371666078, 555.6043368924048, 543.8800270839404, 543.7971171948218, 543.8803406171901, 549.7101214214038, 549.6907426952034, 543.8461663517901, 543.8106801022766, 549.7106895062232, 543.7966411857195, 543.8136814230231, 543.8314779138052, 543.794859796442, 543.7853496792496, 543.8058634470868, 543.8106189209927, 543.7909465271939, 543.7954187188097, 543.7780523966718, 549.7109299346965, 543.7928399373126, 543.8376102293691, 543.8074392785309, 543.8014299126081, 543.7757213910421, 549.6733792494703, 549.6988708639658, 543.7641021231169, 543.7673388629831, 543.7858948835762, 543.791401222188, 543.7878639287846, 543.7849847219323, 543.7823543420402, 543.7703774513736, 543.7985232055828, 549.6785905771358, 543.7627095548055]","[[-0.56051534]
 [-0.69738144]
 [-0.7601501 ]
 ...
 [-0.61181116]
 [-0.44965136]
 [-0.66895425]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
64,"[543.9910128078153, 543.9053082543035, 543.87432518313, 549.7632460696723, 549.7629232355343, 549.6963743727695, 543.870481511598, 543.7945348960097, 543.825667663287, 549.7154326567086, 543.8230031895381, 543.8194467585574, 549.7051627610319, 543.8285461907745, 543.7958712911093, 543.7757948008916, 543.8374274059008, 543.7952061417283, 543.7877748422725, 543.7837873607554, 549.6979070222505, 543.7738841964352, 543.7972037946024, 543.80125754623, 549.711097904431, 543.7885151165788, 543.7744681578811, 543.7706739928133, 543.8152353250853, 543.7825235038675, 543.807922878573, 543.8046959369414, 549.7112237125315, 543.7790755969222, 543.829146405702, 549.7520043042398, 544.0173371222711, 543.9193690925516, 549.8388620627824, 543.88554742003, 544.0053964507196, 543.8773389785521, 549.7586871782938, 543.868237597968, 543.851907748048, 543.9368456409824, 543.9056529409143, 543.8789066217279, 543.8952836272537, 549.7299691297675]","[[-0.48835665]
 [-0.5306443 ]
 [-0.4994384 ]
 ...
 [-0.53148127]
 [-0.50463754]
 [-0.514774  ]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
128,"[550.0523445375504, 543.9836645844163, 549.7725356522427, 543.9300434153567, 543.9745146254057, 549.7989812897098, 543.9000175511965, 544.0985740218111, 544.0694898174655, 543.9419143379375, 543.955043454324, 543.9690132653841, 543.9247598212253, 543.9741811047318, 543.9027976271926, 543.9180950195558, 543.8932702131169, 543.8699094556993, 543.875875191022, 543.846602834681, 543.843004044666, 543.8673494067243, 543.8009762328159, 543.8849400884362, 549.8395098383709, 543.8598092550873, 543.9031374275044, 543.9379905808356, 549.7235844776195, 543.8336515144636, 543.8445127394891, 543.8392198803605, 543.7951486136324, 549.7391791292416, 543.8635819804284, 543.9099226433743, 543.8447128316408, 543.9019353928104, 543.7901514935237, 543.8750753095073, 543.8007615971309, 543.8178946664257, 549.6647977700798, 543.8440678427296, 543.8274969541899, 543.8687064545129, 543.8123361525998, 543.8392631264143, 543.8270809317148, 543.8813933967263]","[[-0.6363397 ]
 [-0.5695368 ]
 [-0.67372376]
 ...
 [-0.7010459 ]
 [-0.3412177 ]
 [-0.66501784]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
