optimizer,train_losses,predictions,actuals
SGD,"[543.9439213391273, 543.8220934867859, 543.8209042267133, 543.8326309163083, 543.8025801899613, 543.8190596308759, 543.8365791741238, 549.6848735142779, 543.7990208774485, 543.8082451487101, 543.7829027637358, 543.7906045811151, 543.7771923131841, 543.815866562628, 543.8042995314444, 543.8043901433227, 543.7817840524899, 543.8019488011637, 543.8155403111571, 543.792649633141, 549.680187302251, 543.7951855710758, 543.8070801637506, 543.7894515375937, 555.5854767830141, 543.7961329055089, 549.6792602051971, 543.7902949574174, 543.793343068451, 543.7774400941787, 549.6931276218866, 543.7963146061026, 543.8017761630397, 543.7962208845282, 543.7861498273829, 549.6935650994701, 543.786801971415, 543.7733820535803, 543.7794919167795, 543.803562389907, 549.6654947470594, 543.7745438391163, 543.7925589289716, 543.7799509135625, 543.7761128692217, 549.6674637461222, 543.7670522812874, 549.6605498483104, 543.7699852476837, 543.7776074178757]","[[-0.51634586]
 [-0.6623088 ]
 [-0.5719094 ]
 ...
 [-0.6498142 ]
 [-0.5086157 ]
 [-0.6086265 ]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
RMSProp,"[544.3939518851619, 543.9659626201917, 549.7985597246436, 543.8584748698819, 543.8872098410002, 543.8541857273348, 543.8848074097788, 543.8586850704685, 543.848103932155, 543.8660188157071, 543.8395869449903, 543.8354823999507, 543.8413636222963, 543.8388180527636, 549.7025156533846, 543.8474838810582, 543.8028987992194, 549.7088833265407, 549.7488475025341, 543.8519820218445, 543.8230178099807, 543.8231211990438, 543.8192764097645, 543.8196253904732, 543.8732238687495, 549.7238347863638, 543.8309455456272, 543.7932816782305, 543.9369074016489, 543.8242841407817, 543.8006950065654, 543.7985655312897, 549.7012960859524, 543.8431547200807, 549.6837710795864, 543.8320719221587, 543.8067442473545, 543.8127002459701, 543.8330570267093, 543.8206891065003, 543.7990546303411, 543.8174354389149, 543.7992999117862, 543.8006988289536, 549.7378750924141, 543.8209849301205, 549.7346200789175, 543.784525263694, 543.7910844561874, 543.7972664551069]","[[-0.44290668]
 [-0.61866844]
 [-0.38867283]
 ...
 [-0.49387634]
 [-0.30457377]
 [-0.36853236]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
Adam,"[549.9812101471808, 549.8312878531794, 543.8403676684185, 549.8047178611961, 543.8373935709717, 543.8101944615764, 543.8221332898704, 543.8415427797584, 543.8105150115106, 543.8250025164697, 543.8197012485996, 543.8031612493659, 543.8130106541419, 543.7965262295097, 543.7971490916385, 543.7951881936801, 543.7961275833909, 543.8305022101248, 543.8270943831373, 543.7933485892511, 543.8100049726424, 543.8125533698708, 543.7954499285709, 543.7912301478848, 543.7977193683706, 543.7883322418377, 543.8045741973385, 549.6870266314476, 543.7882988170911, 543.7937331404737, 543.8216681916226, 549.6512475090642, 543.7977750250088, 543.8133358135018, 555.6083253070873, 543.7601974600104, 543.7840325012002, 543.8185947684832, 543.8392493853005, 543.799135272221, 555.6195898748214, 543.8128235365755, 543.7908932470506, 543.806383971245, 543.76082182956, 555.5444668877509, 549.7062666595623, 543.7756314021285, 549.6777279735893, 543.7712550470906]","[[-0.5928881 ]
 [-0.67643225]
 [-0.71943665]
 ...
 [-0.45607126]
 [-0.71544135]
 [-0.66516817]]",[-200.     3.8    1.6 ...    2.4    3.4    2.5]
